Order Number,Product ID,Customer number,Date,Material Type,Reason for rejection,Order qty,Confirmed Qty,Canceled Qty,Order value $,Confirmed Value,Canceled Value,Class,Fill rate
43-910891,275259659197,75569635,"Saturday, August 26, 2023",Saleable Products,Freshness,8,7,1,$414.85,$362.99,$51.86,Set,87%
43-392683,561902006518,93370583,"Thursday, November 07, 2024",Saleable Products,Discontinued,28,0,28,$1460.61,$0.0,$1460.61,Travel Retail,0%
43-468203,422601660137,97775215,"Sunday, March 24, 2024",Saleable Products,Automatic Closing,33,32,1,$2160.91,$2095.43,$65.48,Travel Retail,96%
43-772642,590573056992,27778019,"Thursday, November 02, 2023",Saleable Products,Discontinued,11,0,11,$649.89,$0.0,$649.89,C,0%
43-634150,709761138617,75569635,"Monday, May 08, 2023",Saleable Products,OK,42,42,0,$2242.86,$2242.86,$0.0,C,100%
43-519093,277660601409,91178885,"Monday, July 08, 2024",Saleable Products,Global Allocation,37,34,3,$2631.93,$2418.53,$213.4,Limited Edition,91%
43-812526,858663022120,82909480,"Thursday, January 30, 2025",Saleable Products,Global Allocation,25,24,1,$1971.21,$1892.36,$78.85,C,96%
43-984642,933251567391,84252420,"Monday, September 16, 2024",Saleable Products,Automatic Closing,34,33,1,$2307.44,$2239.57,$67.87,C,97%
43-662262,180092702123,47816686,"Wednesday, April 10, 2024",Saleable Products,Discontinued,22,0,22,$994.95,$0.0,$994.95,C,0%
43-447235,459422681391,27778019,"Wednesday, June 07, 2023",Saleable Products,Discontinued,2,0,2,$94.58,$0.0,$94.58,Limited Edition,0%
43-128941,790933616150,77834855,"Tuesday, March 14, 2023",Saleable Products,OK,16,16,0,$301.89,$301.89,$0.0,C,100%
43-220944,180092702123,46553958,"Tuesday, February 11, 2025",Saleable Products,Discontinued,11,0,11,$520.4,$0.0,$520.4,Limited Edition,0%
43-373903,929319141080,56843172,"Tuesday, January 07, 2025",Saleable Products,No Inventory,14,0,14,$1130.1,$0.0,$1130.1,Set,0%
43-287241,911856239313,99038526,"Saturday, December 16, 2023",Saleable Products,No Inventory,32,0,32,$511.44,$0.0,$511.44,C,0%
43-708792,942959595464,24366125,"Friday, October 06, 2023",Saleable Products,Freshness,22,19,3,$567.53,$490.14,$77.39,Limited Edition,86%
43-378361,354342113419,42787299,"Saturday, February 11, 2023",Saleable Products,No Inventory,5,0,5,$429.18,$0.0,$429.18,Travel Retail,0%
43-140115,491257417623,48250360,"Friday, January 26, 2024",Saleable Products,No Inventory,36,0,36,$2200.15,$0.0,$2200.15,Travel Retail,0%
43-213668,422601660137,95125977,"Tuesday, September 19, 2023",Saleable Products,Freshness,23,20,3,$1619.38,$1408.16,$211.22,Set,86%
43-725550,700832336208,71367643,"Wednesday, April 26, 2023",Saleable Products,No Inventory,19,0,19,$739.87,$0.0,$739.87,C,0%
43-555673,422601660137,82909480,"Thursday, October 03, 2024",Saleable Products,No Inventory,29,0,29,$1565.77,$0.0,$1565.77,C,0%
43-462479,397982492151,84437458,"Monday, April 22, 2024",Saleable Products,Freshness,42,41,1,$3298.76,$3220.22,$78.54,Limited Edition,97%
43-863934,851347210313,52436584,"Tuesday, March 12, 2024",Saleable Products,Automatic Closing,23,20,3,$2043.41,$1776.88,$266.53,C,86%
43-924629,312933106111,95125977,"Thursday, August 22, 2024",Saleable Products,Freshness,9,8,1,$879.11,$781.43,$97.68,C,88%
43-428914,539441524732,30863865,"Thursday, June 22, 2023",Saleable Products,Freshness,18,16,2,$1558.66,$1385.48,$173.18,Limited Edition,88%
43-557592,748913461122,45431319,"Friday, December 27, 2024",Saleable Products,No Inventory,31,0,31,$498.28,$0.0,$498.28,Set,0%
43-735656,459422681391,75569635,"Monday, December 09, 2024",Saleable Products,Global Allocation,37,35,2,$1513.38,$1431.57,$81.81,Set,94%
43-636265,654818085172,50264926,"Monday, March 24, 2025",Saleable Products,No Inventory,17,0,17,$1315.8,$0.0,$1315.8,C,0%
43-221263,277660601409,47816686,"Monday, May 13, 2024",Saleable Products,Automatic Closing,18,15,3,$857.08,$714.24,$142.84,Limited Edition,83%
43-503906,406404042870,68812137,"Saturday, February 15, 2025",Saleable Products,Freshness,27,26,1,$1330.38,$1281.11,$49.27,Set,96%
43-704596,251282538206,99639081,"Thursday, October 26, 2023",Saleable Products,OK,21,21,0,$1711.25,$1711.25,$0.0,Set,100%
43-299312,223005401501,45594597,"Saturday, August 19, 2023",Saleable Products,Freshness,1,0,1,$85.01,$0.0,$85.01,Set,0%
43-367095,790933616150,77834855,"Wednesday, June 19, 2024",Saleable Products,Automatic Closing,32,29,3,$2599.26,$2355.58,$243.68,Set,90%
43-146542,945433611429,11049999,"Sunday, April 16, 2023",Saleable Products,Discontinued,14,0,14,$586.83,$0.0,$586.83,Limited Edition,0%
43-843215,790933616150,31172421,"Saturday, April 01, 2023",Saleable Products,No Inventory,46,0,46,$1403.98,$0.0,$1403.98,Set,0%
43-557239,254608246768,37326368,"Sunday, January 19, 2025",Saleable Products,Global Allocation,14,12,2,$592.02,$507.44,$84.58,Travel Retail,85%
43-101773,198912225902,99038526,"Monday, September 09, 2024",Saleable Products,Global Allocation,33,31,2,$2413.11,$2266.86,$146.25,Set,93%
43-645175,709761138617,71510041,"Thursday, September 05, 2024",Saleable Products,No Inventory,36,0,36,$1541.68,$0.0,$1541.68,Travel Retail,0%
43-945687,933251567391,50264926,"Sunday, January 07, 2024",Saleable Products,No Inventory,39,0,39,$584.39,$0.0,$584.39,Travel Retail,0%
43-664607,808302588517,31172421,"Tuesday, September 05, 2023",Saleable Products,Automatic Closing,12,9,3,$984.82,$738.61,$246.21,Set,75%
43-820221,754648192232,19736572,"Monday, November 11, 2024",Saleable Products,Freshness,45,43,2,$706.88,$675.46,$31.42,C,95%
43-854377,227649528249,52436584,"Tuesday, May 21, 2024",Saleable Products,OK,25,25,0,$2491.3,$2491.3,$0.0,Set,100%
43-877991,517045625552,75569635,"Thursday, December 19, 2024",Saleable Products,Freshness,15,12,3,$1313.12,$1050.49,$262.63,C,80%
43-872840,790933616150,84437458,"Monday, March 18, 2024",Saleable Products,Freshness,20,17,3,$1921.41,$1633.2,$288.21,Set,85%
43-803204,709761138617,50181935,"Thursday, March 07, 2024",Saleable Products,OK,34,34,0,$2889.76,$2889.76,$0.0,Limited Edition,100%
43-306606,101948728483,28024248,"Tuesday, February 28, 2023",Saleable Products,Global Allocation,14,12,2,$267.35,$229.15,$38.2,Limited Edition,85%
43-481913,984901132451,59597086,"Tuesday, October 15, 2024",Saleable Products,Freshness,30,28,2,$1430.64,$1335.26,$95.38,Travel Retail,93%
43-552248,367469214295,48250360,"Tuesday, April 18, 2023",Saleable Products,Discontinued,44,0,44,$4035.42,$0.0,$4035.42,Limited Edition,0%
43-173372,921467220156,82909480,"Thursday, February 27, 2025",Saleable Products,Discontinued,13,0,13,$236.33,$0.0,$236.33,C,0%
43-796503,251461507038,46553958,"Saturday, October 14, 2023",Saleable Products,Automatic Closing,14,13,1,$524.61,$487.14,$37.47,C,92%
43-446239,354342113419,92097999,"Saturday, January 11, 2025",Saleable Products,Automatic Closing,29,27,2,$1509.13,$1405.05,$104.08,Travel Retail,93%
43-753425,605645347792,27778019,"Monday, January 20, 2025",Saleable Products,OK,26,26,0,$1312.8,$1312.8,$0.0,Set,100%
43-429164,459422681391,84252420,"Tuesday, October 10, 2023",Saleable Products,OK,3,3,0,$284.85,$284.85,$0.0,Limited Edition,100%
43-795612,808302588517,82909480,"Friday, September 15, 2023",Saleable Products,Automatic Closing,25,24,1,$1139.02,$1093.46,$45.56,Set,96%
43-989208,947087372942,71367643,"Thursday, October 17, 2024",Saleable Products,No Inventory,27,0,27,$850.68,$0.0,$850.68,Set,0%
43-230679,947087372942,27778019,"Tuesday, June 04, 2024",Saleable Products,Freshness,45,42,3,$2251.98,$2101.85,$150.13,Limited Edition,93%
43-854717,648275934229,56020613,"Sunday, December 03, 2023",Saleable Products,No Inventory,40,0,40,$1825.58,$0.0,$1825.58,Set,0%
43-414910,198912225902,45496015,"Tuesday, March 05, 2024",Saleable Products,Global Allocation,16,14,2,$1057.56,$925.36,$132.2,C,87%
43-631756,251461507038,19832887,"Wednesday, November 13, 2024",Saleable Products,Discontinued,38,0,38,$3779.98,$0.0,$3779.98,Travel Retail,0%
43-424308,390355792387,45594597,"Friday, September 15, 2023",Saleable Products,OK,11,11,0,$655.9,$655.9,$0.0,C,100%
43-799287,163462436409,80993218,"Monday, January 01, 2024",Saleable Products,Automatic Closing,29,27,2,$1496.41,$1393.21,$103.2,Limited Edition,93%
43-528231,826046287257,45594597,"Monday, March 27, 2023",Saleable Products,Discontinued,47,0,47,$2981.99,$0.0,$2981.99,Limited Edition,0%
43-442027,390355792387,45496015,"Saturday, January 14, 2023",Saleable Products,No Inventory,24,0,24,$2356.37,$0.0,$2356.37,Limited Edition,0%
43-521947,176040557040,23903144,"Friday, April 14, 2023",Saleable Products,OK,29,29,0,$1920.73,$1920.73,$0.0,Limited Edition,100%
43-831076,406404042870,50264926,"Tuesday, December 31, 2024",Saleable Products,OK,34,34,0,$716.18,$716.18,$0.0,Set,100%
43-410016,709761138617,28024248,"Saturday, April 05, 2025",Saleable Products,Freshness,11,8,3,$1013.56,$737.14,$276.42,Set,72%
43-681343,590573056992,59597086,"Sunday, May 12, 2024",Saleable Products,OK,20,20,0,$1263.48,$1263.48,$0.0,Travel Retail,100%
43-233470,835339233454,50603163,"Wednesday, September 06, 2023",Saleable Products,Global Allocation,20,18,2,$484.59,$436.13,$48.46,Limited Edition,90%
43-301158,654818085172,91178885,"Thursday, August 22, 2024",Saleable Products,OK,9,9,0,$276.7,$276.7,$0.0,Limited Edition,100%
43-540869,826046287257,19736572,"Tuesday, May 21, 2024",Saleable Products,Global Allocation,23,22,1,$479.51,$458.66,$20.85,Set,95%
43-797229,187525138707,25492573,"Tuesday, August 15, 2023",Saleable Products,No Inventory,36,0,36,$3472.86,$0.0,$3472.86,Set,0%
43-497562,517045625552,77898694,"Wednesday, August 28, 2024",Saleable Products,Freshness,49,47,2,$802.45,$769.7,$32.75,C,95%
43-810219,790757033266,99038526,"Wednesday, March 20, 2024",Saleable Products,Global Allocation,27,26,1,$2127.56,$2048.76,$78.8,Travel Retail,96%
43-884475,798400899699,23419256,"Tuesday, November 12, 2024",Saleable Products,No Inventory,24,0,24,$969.34,$0.0,$969.34,Set,0%
43-282480,251461507038,30863865,"Saturday, September 30, 2023",Saleable Products,Discontinued,40,0,40,$692.01,$0.0,$692.01,Travel Retail,0%
43-745414,851347210313,56843172,"Monday, April 17, 2023",Saleable Products,OK,25,25,0,$1226.16,$1226.16,$0.0,Limited Edition,100%
43-696750,476415064723,43704923,"Monday, March 10, 2025",Saleable Products,Automatic Closing,25,23,2,$250.61,$230.56,$20.05,Limited Edition,92%
43-415568,377150435753,52436584,"Thursday, December 26, 2024",Saleable Products,Automatic Closing,48,46,2,$4010.62,$3843.51,$167.11,C,95%
43-525800,422601660137,48250360,"Tuesday, May 14, 2024",Saleable Products,Global Allocation,33,30,3,$1939.49,$1763.17,$176.32,C,90%
43-674553,256589576361,19832887,"Sunday, July 28, 2024",Saleable Products,Freshness,31,30,1,$1570.37,$1519.72,$50.65,C,96%
43-974224,180092702123,68812137,"Friday, September 13, 2024",Saleable Products,Global Allocation,10,7,3,$846.3,$592.41,$253.89,Set,70%
43-100425,851347210313,77834855,"Friday, August 02, 2024",Saleable Products,No Inventory,39,0,39,$2212.81,$0.0,$2212.81,Travel Retail,0%
43-418635,476415064723,52436584,"Saturday, January 20, 2024",Saleable Products,No Inventory,15,0,15,$953.65,$0.0,$953.65,Set,0%
43-400850,886833016361,82160068,"Friday, September 13, 2024",Saleable Products,Global Allocation,1,0,1,$83.33,$0.0,$83.33,Limited Edition,0%
43-320392,889742985454,92097999,"Saturday, June 15, 2024",Saleable Products,Global Allocation,16,13,3,$1197.62,$973.07,$224.55,Limited Edition,81%
43-550770,422601660137,91178885,"Thursday, November 14, 2024",Saleable Products,Discontinued,21,0,21,$1455.58,$0.0,$1455.58,C,0%
43-923927,150711229823,77834855,"Saturday, January 27, 2024",Saleable Products,No Inventory,2,0,2,$146.75,$0.0,$146.75,C,0%
43-708158,390355792387,85563727,"Monday, February 13, 2023",Saleable Products,Discontinued,3,0,3,$101.0,$0.0,$101.0,Travel Retail,0%
43-736130,726820024292,23419256,"Sunday, September 08, 2024",Saleable Products,Global Allocation,15,14,1,$308.28,$287.73,$20.55,Set,93%
43-786508,342910249529,27778019,"Friday, April 21, 2023",Saleable Products,Freshness,32,29,3,$2113.28,$1915.16,$198.12,Limited Edition,90%
43-437902,275259659197,99038526,"Tuesday, August 27, 2024",Saleable Products,OK,50,50,0,$1508.07,$1508.07,$0.0,Limited Edition,100%
43-587575,615379416985,52436584,"Sunday, March 23, 2025",Saleable Products,No Inventory,47,0,47,$671.43,$0.0,$671.43,C,0%
43-563246,790933616150,19736572,"Sunday, October 20, 2024",Saleable Products,Automatic Closing,27,26,1,$888.0,$855.11,$32.89,Set,96%
43-563638,227649528249,84437458,"Tuesday, April 11, 2023",Saleable Products,Discontinued,36,0,36,$2693.67,$0.0,$2693.67,Limited Edition,0%
43-808446,312933106111,77898694,"Monday, August 12, 2024",Saleable Products,No Inventory,35,0,35,$2581.53,$0.0,$2581.53,Limited Edition,0%
43-324082,397982492151,56020613,"Saturday, April 08, 2023",Saleable Products,OK,39,39,0,$3560.44,$3560.44,$0.0,Set,100%
43-636004,889742985454,31172421,"Monday, May 01, 2023",Saleable Products,Discontinued,24,0,24,$1698.49,$0.0,$1698.49,C,0%
43-596171,459422681391,47816686,"Friday, February 21, 2025",Saleable Products,No Inventory,8,0,8,$396.6,$0.0,$396.6,Travel Retail,0%
43-932291,521179644432,95125977,"Saturday, September 02, 2023",Saleable Products,Discontinued,7,0,7,$234.11,$0.0,$234.11,C,0%
43-934692,227649528249,59597086,"Friday, January 05, 2024",Saleable Products,Discontinued,4,0,4,$313.02,$0.0,$313.02,Set,0%
43-871711,476415064723,30863865,"Saturday, August 17, 2024",Saleable Products,Global Allocation,30,29,1,$1412.32,$1365.24,$47.08,Set,96%
43-277934,180092702123,77834855,"Tuesday, November 19, 2024",Saleable Products,Global Allocation,10,8,2,$833.94,$667.15,$166.79,Set,80%
43-790855,275259659197,68812137,"Friday, December 27, 2024",Saleable Products,Discontinued,25,0,25,$2166.16,$0.0,$2166.16,Limited Edition,0%
43-188914,498837994177,48250360,"Tuesday, September 10, 2024",Saleable Products,Discontinued,42,0,42,$1748.93,$0.0,$1748.93,Set,0%
43-397571,367469214295,24366125,"Thursday, March 07, 2024",Saleable Products,Automatic Closing,47,46,1,$1924.38,$1883.43,$40.95,Travel Retail,97%
43-640490,517010168081,50181935,"Monday, April 14, 2025",Saleable Products,OK,32,32,0,$2951.26,$2951.26,$0.0,C,100%
43-796101,748913461122,19832887,"Thursday, February 08, 2024",Saleable Products,OK,32,32,0,$1464.11,$1464.11,$0.0,Limited Edition,100%
43-763686,947087372942,42787299,"Sunday, January 05, 2025",Saleable Products,Freshness,50,49,1,$3680.62,$3607.01,$73.61,Set,98%
43-749342,869945806981,38270233,"Saturday, February 01, 2025",Saleable Products,Freshness,32,30,2,$1408.11,$1320.11,$88.0,Set,93%
43-451470,894035742189,30863865,"Friday, February 10, 2023",Saleable Products,Freshness,10,7,3,$758.15,$530.71,$227.44,Set,70%
43-197923,517045625552,95125977,"Friday, December 22, 2023",Saleable Products,Global Allocation,9,7,2,$230.62,$179.37,$51.25,Travel Retail,77%
43-958179,790933616150,48250360,"Thursday, October 24, 2024",Saleable Products,Global Allocation,25,23,2,$2130.74,$1960.28,$170.46,Travel Retail,92%
43-887625,561902006518,42787299,"Tuesday, March 18, 2025",Saleable Products,Automatic Closing,25,23,2,$2462.11,$2265.14,$196.97,C,92%
43-346277,599410093881,82160068,"Tuesday, March 26, 2024",Saleable Products,Global Allocation,41,40,1,$3235.7,$3156.78,$78.92,C,97%
43-805477,709761138617,68812137,"Tuesday, April 16, 2024",Saleable Products,Freshness,16,14,2,$677.14,$592.5,$84.64,Travel Retail,87%
43-425498,336890980656,56020613,"Saturday, August 10, 2024",Saleable Products,No Inventory,49,0,49,$2938.45,$0.0,$2938.45,Travel Retail,0%
43-335552,851347210313,42787299,"Wednesday, June 19, 2024",Saleable Products,Discontinued,16,0,16,$1124.22,$0.0,$1124.22,Travel Retail,0%
43-945742,267974663989,28024248,"Wednesday, February 08, 2023",Saleable Products,Freshness,30,29,1,$820.76,$793.4,$27.36,C,96%
43-308802,570662212985,82909480,"Tuesday, February 13, 2024",Saleable Products,Automatic Closing,38,37,1,$1347.53,$1312.06,$35.47,Limited Edition,97%
43-254511,422601660137,50264926,"Saturday, April 12, 2025",Saleable Products,Discontinued,5,0,5,$410.8,$0.0,$410.8,C,0%
43-125611,939668623711,19832887,"Friday, April 04, 2025",Saleable Products,Global Allocation,7,6,1,$665.53,$570.45,$95.08,Set,85%
43-148458,397982492151,50264926,"Saturday, October 05, 2024",Saleable Products,Discontinued,13,0,13,$448.57,$0.0,$448.57,C,0%
43-356736,180092702123,84252420,"Saturday, February 01, 2025",Saleable Products,No Inventory,8,0,8,$186.26,$0.0,$186.26,Travel Retail,0%
43-598216,496852403351,30863865,"Friday, March 07, 2025",Saleable Products,Automatic Closing,33,32,1,$3245.42,$3147.07,$98.35,Limited Edition,96%
43-740967,150711229823,75569635,"Monday, March 18, 2024",Saleable Products,Global Allocation,10,7,3,$387.97,$271.58,$116.39,C,70%
43-991014,754648192232,23419256,"Saturday, November 16, 2024",Saleable Products,OK,20,20,0,$1601.25,$1601.25,$0.0,Limited Edition,100%
43-905819,333279765207,50181935,"Friday, January 27, 2023",Saleable Products,Freshness,32,31,1,$1411.55,$1367.44,$44.11,Set,96%
43-176365,942959595464,93370583,"Thursday, August 10, 2023",Saleable Products,No Inventory,29,0,29,$2767.09,$0.0,$2767.09,Limited Edition,0%
43-577538,136171878809,19233013,"Saturday, August 03, 2024",Saleable Products,No Inventory,1,0,1,$63.96,$0.0,$63.96,C,0%
43-534572,933251567391,45496015,"Wednesday, July 05, 2023",Saleable Products,Freshness,27,26,1,$1278.73,$1231.37,$47.36,Set,96%
43-760356,743806247029,77834855,"Wednesday, January 25, 2023",Saleable Products,Automatic Closing,20,18,2,$521.0,$468.9,$52.1,C,90%
43-703634,808302588517,24366125,"Monday, October 07, 2024",Saleable Products,Automatic Closing,14,12,2,$462.03,$396.03,$66.0,Travel Retail,85%
43-303880,926939990836,42787299,"Sunday, December 03, 2023",Saleable Products,No Inventory,15,0,15,$1306.91,$0.0,$1306.91,C,0%
43-853240,254608246768,23903144,"Wednesday, April 12, 2023",Saleable Products,Freshness,6,5,1,$90.75,$75.63,$15.12,Travel Retail,83%
43-830180,101948728483,19736572,"Friday, October 27, 2023",Saleable Products,Discontinued,2,0,2,$48.23,$0.0,$48.23,Set,0%
43-502630,615379416985,82909480,"Tuesday, February 27, 2024",Saleable Products,OK,29,29,0,$792.76,$792.76,$0.0,Set,100%
43-618392,407473554860,82160068,"Tuesday, April 01, 2025",Saleable Products,OK,39,39,0,$638.09,$638.09,$0.0,C,100%
43-519066,798400899699,23419256,"Monday, January 30, 2023",Saleable Products,Automatic Closing,32,29,3,$2294.64,$2079.52,$215.12,Set,90%
43-355836,648275934229,84437458,"Thursday, January 16, 2025",Saleable Products,Automatic Closing,5,2,3,$491.57,$196.63,$294.94,C,40%
43-254739,748913461122,85563727,"Friday, April 12, 2024",Saleable Products,Discontinued,22,0,22,$495.62,$0.0,$495.62,Limited Edition,0%
43-787926,275259659197,46553958,"Sunday, September 17, 2023",Saleable Products,Automatic Closing,28,26,2,$2293.31,$2129.5,$163.81,Limited Edition,92%
